"scientificName","sex_female","n_female","mean_BM_female","sex_male","n_male","mean_BM_male","log_male_body_mass","log_female_body_mass"
"Allactaga_sibirica","female",29,94.8379310344828,"male",45,94.3977777777778,4.54751753238473,4.55216944563325
"Alticola_barakshin","female",34,26.4779411764706,"male",52,26.2144230769231,3.2663097584172,3.27631197791282
"Alticola_strelzowi","female",39,28.8512820512821,"male",48,28.5979166666667,3.35333387134972,3.36215443048606
"Apodemus_agrarius","female",83,19.0987951807229,"male",117,18.8111111111111,2.93444771180287,2.94962525351968
"Baiomys_taylori","female",36,7.53888888888889,"male",24,6.8625,1.92607180683565,2.02007480894466
"Chaetodipus_baileyi","female",44,28.75,"male",28,31.2142857142857,3.44087586548033,3.35863776724336
"Chaetodipus_penicillatus","female",92,16.9630434782609,"male",77,17.3441558441558,2.85325561069633,2.83103706463362
"Dicrostonyx_groenlandicus","female",21,51.0190476190476,"male",86,54.0220930232558,3.98939309295368,3.93219904572344
"Dicrostonyx_torquatus","female",51,60.7529411764706,"male",56,67,4.20469261939097,4.10681549547622
"Dipodomys_merriami","female",158,42.2607594936709,"male",203,44.0926108374384,3.78629221370733,3.74385898395427
"Dipodomys_ordii","female",54,48.3944444444444,"male",71,51.0239436619718,3.93229500611947,3.87938502292868
"Dipus_sagitta","female",28,79.0714285714286,"male",42,78,4.35670882668959,4.37035160309338
"Ellobius_tancrei","female",27,57.2037037037037,"male",25,52.48,3.96043214463583,4.04661864635431
"Eolagurus_luteus","female",34,52.2058823529412,"male",20,55.85,4.02266952551521,3.95519517729335
"Geomys_personatus","female",16,164.58125,"male",17,184.764705882353,5.21908315548243,5.10340436923926
"Heteromys_desmarestianus","female",22,54.8863636363636,"male",12,57.3333333333333,4.04888218814534,4.00526493216841
"Ictidomys_tridecemlineatus","female",12,136.133333333333,"male",14,110.6,4.70592008908823,4.9136347976224
"Lemmus_sibiricus","female",97,62.1969072164948,"male",133,64.0654135338346,4.1599046478511,4.13030527530142
"Lemmus_trimucronatus","female",338,50.3365384615385,"male",518,53.4159845559846,3.97811003742838,3.91873122416326
"Marmota_monax","female",32,2932.4721875,"male",18,3330.77166666667,8.11095928786057,7.98360109625418
"Microtus_californicus","female",36,33.3377777777778,"male",28,34.3996428571429,3.53804618226566,3.50669122176522
"Microtus_chrotorrhinus","female",16,29.5875,"male",22,31.29,3.44329855768079,3.3873519748401
"Microtus_fortis","female",39,43.0128205128205,"male",36,54.8888888888889,4.0053109398517,3.76149822271619
"Microtus_longicaudus","female",128,33.390625,"male",133,32.8360902255639,3.49152822224579,3.50827517195948
"Microtus_miurus","female",87,31.5505747126437,"male",35,26.5565714285714,3.279277228496,3.45159180475297
"Microtus_montanus","female",65,32.8953846153846,"male",61,32.6688524590164,3.48642209977466,3.49333236268376
"Microtus_ochrogaster","female",12,26.4916666666667,"male",24,25.325,3.23179205013475,3.27683021812876
"Microtus_oeconomus","female",315,35.9137142857143,"male",290,34.0940344827586,3.52912242713077,3.58111923607529
"Microtus_pennsylvanicus","female",257,34.8505836575875,"male",245,33.6526530612245,3.51609189581266,3.55106988477325
"Microtus_pinetorum","female",10,26.83,"male",10,28.05,3.33398863196871,3.28952066443753
"Mus_musculus","female",315,14.5085714285714,"male",364,13.7269230769231,2.61935909247463,2.67473960778116
"Myodes_gapperi","female",288,21.9034722222222,"male",280,20.8110714285714,3.03548512531618,3.08664517321482
"Myodes_glareolus","female",36,26.1861111111111,"male",39,23.7025641025641,3.16558323227058,3.26522915994599
"Myodes_rutilus","female",477,22.6993291404612,"male",647,21.1204945904173,3.05024387667074,3.122335370767
"Myopus_schisticolor","female",77,30.1272727272727,"male",30,29.99,3.40086399276092,3.40543083219409
"Napaeozapus_insignis","female",111,23.1603603603604,"male",122,21.0286885245902,3.04588762564876,3.1424422121848
"Neotoma_albigula","female",332,162.183734939759,"male",260,176.770384615385,5.174851628341,5.08872985884649
"Neotoma_lepida","female",26,132.315384615385,"male",35,152.851428571429,5.0294663945243,4.88518835019081
"Neotoma_mexicana","female",61,138.877049180328,"male",48,136.190625,4.91405555874722,4.93358900342485
"Neotoma_micropus","female",55,242.281818181818,"male",60,272.05,5.60598587293193,5.49010158654974
"Neotoma_stephensi","female",37,139.213513513514,"male",24,151.458333333333,5.02031055961967,4.93600882302684
"Oligoryzomys_fulvescens","female",38,14.6578947368421,"male",58,12.8620689655172,2.55428258965734,2.6849790802009
"Oligoryzomys_longicaudatus","female",13,22.9230769230769,"male",16,26.1875,3.26528219768236,3.13214412904387
"Onychomys_leucogaster","female",40,28.8825,"male",39,31.7641025641026,3.4583368019694,3.36323587537504
