"","scientificName","female.mass","male.mass","female.total.length","male.total.length","tots"
"1","Abrothrix olivaceus",27,34,66,82,2
"2","Allactaga balikunica",12,0,24,22,1
"3","Allactaga sibirica",29,45,61,104,2
"4","Alticola barakshin",34,52,78,130,2
"5","Alticola lemminus",0,0,26,12,1
"6","Alticola semicanus",0,0,25,17,1
"7","Alticola strelzowi",39,48,97,102,2
"8","Alticola tuvinicus",0,0,24,15,1
"9","Aplodontia rufa",0,0,11,12,1
"10","Apodemus agrarius",83,117,233,286,2
"11","Apodemus peninsulae",81,117,188,277,2
"12","Apodemus uralensis",100,133,252,310,2
"13","Baiomys taylori",36,24,150,147,2
"14","Castor canadensis",0,0,31,24,1
"15","Chaetodipus baileyi",44,28,0,0,1
"16","Chaetodipus californicus",0,0,24,27,1
"17","Chaetodipus formosus",0,0,10,12,1
"18","Chaetodipus intermedius",16,0,31,11,1
"19","Chaetodipus nelsoni",0,0,216,269,1
"20","Chaetodipus penicillatus",92,77,149,156,2
"21","Clethrionomys gapperi",48,68,214,320,2
"22","Clethrionomys rutilus",0,0,16,13,1
"23","Cricetulus barabensis",92,108,215,282,2
"24","Cricetulus longicaudatus",50,36,105,83,2
"25","Cricetulus migratorius",83,91,185,213,2
"26","Cynomys gunnisoni",0,0,11,14,1
"27","Cynomys ludovicianus",0,12,22,45,1
"28","Dicrostonyx groenlandicus",21,86,45,218,2
"29","Dicrostonyx torquatus",51,56,83,149,2
"30","Dipodomys agilis",0,0,56,45,1
"31","Dipodomys compactus",0,0,57,91,1
"32","Dipodomys merriami",158,203,328,324,2
"33","Dipodomys ordii",54,71,162,247,2
"34","Dipodomys panamintinus",0,0,14,15,1
"35","Dipus sagitta",28,42,64,105,2
"36","Ellobius tancrei",27,25,69,54,2
"37","Eolagurus luteus",34,20,84,56,2
"38","Erethizon dorsatum",13,0,15,11,1
"39","Geomys arenarius",0,0,48,11,1
"40","Geomys breviceps",0,0,71,13,1
"41","Geomys bursarius",10,0,326,192,1
"42","Geomys personatus",16,17,535,324,2
"43","Gerbilliscus leucogaster",0,0,13,10,1
"44","Glaucomys sabrinus",10,0,32,27,1
"45","Glaucomys volans",10,0,31,20,1
"46","Heteromys desmarestianus",22,12,50,28,2
"47","Lemmiscus curtatus",17,0,49,21,1
"48","Lemmus sibiricus",97,133,244,338,2
"49","Lemmus trimucronatus",338,518,898,1365,2
"50","Marmota broweri",0,0,15,10,1
"51","Marmota caligata",0,0,26,13,1
"52","Marmota monax",32,18,48,59,2
"53","Meriones meridianus",68,67,163,161,2
"54","Meriones tamariscinus",0,0,16,16,1
"55","Meriones unguiculatus",44,42,103,86,2
"56","Micaelamys namaquensis",0,0,11,12,1
"57","Microtus californicus",36,28,106,96,2
"58","Microtus chrotorrhinus",16,22,59,73,2
"59","Microtus fortis",39,36,111,87,2
"60","Microtus gregalis",66,49,148,131,2
"61","Microtus longicaudus",128,133,357,378,2
"62","Microtus maximowiczii",41,29,104,63,2
"63","Microtus mexicanus",0,0,14,10,1
"64","Microtus miurus",87,35,222,73,2
"65","Microtus mongolicus",22,25,52,67,2
"66","Microtus montanus",65,61,159,151,2
"67","Microtus ochrogaster",12,24,17,34,2
"68","Microtus oeconomus",315,290,779,734,2
"69","Microtus oregoni",0,0,10,10,1
"70","Microtus pennsylvanicus",257,245,778,756,2
"71","Microtus pinetorum",10,10,38,51,2
"72","Microtus richardsoni",11,0,40,13,1
"73","Mus musculus",315,364,950,1102,2
"74","Myodes gapperi",240,212,541,459,2
"75","Myodes glareolus",36,39,105,100,2
"76","Myodes rufocanus",146,155,256,283,2
"77","Myodes rutilus",477,647,1258,1497,2
"78","Myopus schisticolor",77,30,172,75,2
"79","Napaeozapus insignis",111,122,151,210,2
"80","Neotoma albigula",332,260,907,801,2
"81","Neotoma cinerea",0,12,26,29,1
"82","Neotoma floridana",0,0,32,35,1
"83","Neotoma fuscipes",0,0,48,31,1
"84","Neotoma lepida",26,35,57,97,2
"85","Neotoma mexicana",61,48,155,119,2
"86","Neotoma micropus",55,60,315,260,2
"87","Neotoma stephensi",37,24,88,56,2
"88","Ochrotomys nuttalli",0,0,49,65,1
"89","Oligoryzomys costaricensis",60,87,153,198,2
"90","Oligoryzomys fulvescens",38,58,106,149,2
"91","Oligoryzomys longicaudatus",13,16,33,45,2
"92","Ondatra zibethicus",0,13,73,120,1
"93","Onychomys leucogaster",40,39,198,178,2
"94","Onychomys torridus",34,27,27,23,2
"95","Oryzomys palustris",84,106,245,292,2
"96","Oryzomys saturatior",0,31,14,71,1
"97","Otospermophilus beecheyi",11,16,59,86,2
"98","Perognathus flavescens",0,11,37,15,1
"99","Perognathus flavus",15,18,47,43,2
"100","Perognathus longimembris",0,0,23,22,1
"101","Perognathus merriami",13,11,613,609,2
"102","Perognathus parvus",28,29,77,83,2
"103","Peromyscus attwateri",0,0,68,91,1
"104","Peromyscus aztecus",0,0,18,16,1
"105","Peromyscus boylii",55,61,201,231,2
"106","Peromyscus californicus",0,0,98,160,1
"107","Peromyscus difficilis",0,0,34,34,1
"108","Peromyscus eremicus",51,52,164,176,2
"109","Peromyscus gossypinus",15,22,167,240,2
"110","Peromyscus keeni",365,316,916,873,2
"111","Peromyscus leucopus",353,490,1566,2189,2
"112","Peromyscus maniculatus",1181,1577,2846,3758,2
"113","Peromyscus mexicanus",19,27,32,40,2
"114","Peromyscus nasutus",0,21,27,49,1
"115","Peromyscus nudipes",0,0,33,16,1
"116","Peromyscus pectoralis",25,53,110,241,2
"117","Peromyscus polionotus",572,575,1442,1471,2
"118","Peromyscus truei",106,132,368,413,2
"119","Phenacomys intermedius",26,13,74,30,2
"120","Phodopus campbelli",21,14,48,41,2
"121","Phodopus roborovskii",22,28,39,65,2
"122","Podomys floridanus",0,12,27,29,1
"123","Pygeretmus pumilio",0,11,14,31,1
"124","Rattus norvegicus",66,60,184,178,2
"125","Rattus rattus",87,84,241,289,2
"126","Reithrodontomys creper",19,25,53,68,2
"127","Reithrodontomys fulvescens",87,133,259,377,2
"128","Reithrodontomys megalotis",96,109,263,340,2
"129","Reithrodontomys mexicanus",0,14,14,36,1
"130","Sciurus aberti",0,0,14,11,1
"131","Sciurus carolinensis",10,19,57,74,2
"132","Sciurus griseus",0,12,53,64,1
"133","Sciurus niger",39,55,196,285,2
"134","Sciurus vulgaris",0,0,10,13,1
"135","Scotinomys teguina",25,22,53,47,2
"136","Scotinomys xerampelinus",0,0,20,10,1
"137","Sigmodon arizonae",0,0,10,21,1
"138","Sigmodon hirsutus",326,395,732,943,2
"139","Spermophilus columbianus",12,17,33,40,2
"140","Spermophilus dauricus",0,0,13,18,1
"141","Spermophilus lateralis",0,0,31,25,1
"142","Spermophilus mexicanus",0,0,116,62,1
"143","Spermophilus tereticaudus",0,0,12,10,1
"144","Spermophilus tridecemlineatus",12,14,37,47,2
"145","Spermophilus variegatus",0,0,51,50,1
"146","Stylodipus sungorus",13,10,34,23,2
"147","Synaptomys borealis",11,18,30,46,2
"148","Synaptomys cooperi",0,13,26,76,1
"149","Tamias amoenus",32,28,85,82,2
"150","Tamias canipes",0,0,12,11,1
"151","Tamias dorsalis",0,13,15,39,1
"152","Tamias merriami",0,0,25,16,1
"153","Tamias minimus",29,36,78,90,2
"154","Tamias quadrivittatus",0,13,28,30,1
"155","Tamias senex",0,0,17,10,1
"156","Tamias sibiricus",18,15,45,25,2
"157","Tamias siskiyou",0,0,17,14,1
"158","Tamias striatus",107,73,194,146,2
"159","Tamiasciurus douglasii",0,0,18,18,1
"160","Tamiasciurus hudsonicus",97,97,274,267,2
"161","Thomomys bottae",24,12,183,78,2
"162","Thomomys talpoides",17,15,47,31,2
"163","Urocitellus elegans",28,25,65,64,2
"164","Urocitellus mollis",16,11,43,33,2
"165","Urocitellus parryii",151,101,369,248,2
"166","Urocitellus undulatus",41,40,103,110,2
"167","Zapus hudsonius",45,41,132,127,2
"168","Zapus princeps",64,73,167,199,2
"169","Zygodontomys brevicauda",680,917,1790,2390,2
