"","scientificName","female.mass","male.mass","female.total.length","male.total.length","tots"
"1","Abrothrix olivaceus",29,34,29,34,2
"2","Allactaga sibirica",30,46,30,46,2
"3","Alticola barakshin",37,54,37,54,2
"4","Alticola strelzowi",42,52,43,52,2
"5","Apodemus agrarius",97,134,96,133,2
"6","Apodemus peninsulae",85,120,84,120,2
"7","Apodemus uralensis",107,133,106,134,2
"8","Baiomys taylori",40,24,65,72,2
"9","Castor canadensis",0,0,14,11,1
"10","Chaetodipus baileyi",45,32,0,0,1
"11","Chaetodipus nelsoni",0,0,90,120,1
"12","Chaetodipus penicillatus",98,86,57,68,2
"13","Clethrionomys gapperi",53,76,101,139,2
"14","Cricetulus barabensis",95,116,95,117,2
"15","Cricetulus longicaudatus",53,37,53,37,2
"16","Cricetulus migratorius",88,95,88,95,2
"17","Cynomys ludovicianus",0,14,10,23,1
"18","Dicrostonyx groenlandicus",22,92,24,95,2
"19","Dicrostonyx torquatus",54,59,40,60,2
"20","Dipodomys agilis",0,0,23,18,1
"21","Dipodomys compactus",0,0,25,37,1
"22","Dipodomys merriami",184,228,145,151,2
"23","Dipodomys ordii",59,74,70,104,2
"24","Dipus sagitta",29,45,29,45,2
"25","Ellobius tancrei",27,26,27,27,2
"26","Eolagurus luteus",37,20,37,20,2
"27","Geomys bursarius",10,0,140,82,1
"28","Geomys personatus",16,19,225,153,2
"29","Glaucomys sabrinus",11,0,16,13,1
"30","Glaucomys volans",11,0,12,10,1
"31","Heteromys desmarestianus",23,12,24,13,2
"32","Lemmiscus curtatus",18,11,20,13,2
"33","Lemmus sibiricus",103,144,108,149,2
"34","Lemmus trimucronatus",384,602,384,603,2
"35","Marmota monax",33,22,19,24,2
"36","Meriones meridianus",71,70,71,71,2
"37","Meriones unguiculatus",45,42,45,42,2
"38","Microtus californicus",38,29,45,47,2
"39","Microtus chrotorrhinus",17,22,27,32,2
"40","Microtus fortis",45,40,46,41,2
"41","Microtus gregalis",70,51,70,52,2
"42","Microtus longicaudus",145,158,153,171,2
"43","Microtus maximowiczii",42,30,43,30,2
"44","Microtus miurus",92,36,93,37,2
"45","Microtus mongolicus",23,27,23,27,2
"46","Microtus montanus",67,66,61,69,2
"47","Microtus ochrogaster",15,30,0,15,1
"48","Microtus oeconomus",355,345,355,332,2
"49","Microtus pennsylvanicus",293,289,342,342,2
"50","Microtus pinetorum",12,10,18,26,2
"51","Mus musculus",369,398,423,483,2
"52","Myodes gapperi",283,236,223,193,2
"53","Myodes glareolus",37,39,43,48,2
"54","Myodes rufocanus",157,162,114,128,2
"55","Myodes rutilus",610,686,577,618,2
"56","Myopus schisticolor",81,31,78,31,2
"57","Napaeozapus insignis",137,132,67,90,2
"58","Neotoma albigula",372,327,381,350,2
"59","Neotoma cinerea",0,13,11,14,1
"60","Neotoma floridana",0,0,13,14,1
"61","Neotoma fuscipes",0,0,22,15,1
"62","Neotoma lepida",27,37,29,45,2
"63","Neotoma mexicana",63,51,65,53,2
"64","Neotoma micropus",57,75,126,125,2
"65","Neotoma stephensi",37,27,37,27,2
"66","Ochrotomys nuttalli",0,0,21,28,1
"67","Oligoryzomys costaricensis",66,90,66,89,2
"68","Oligoryzomys fulvescens",47,59,47,61,2
"69","Oligoryzomys longicaudatus",14,17,14,17,2
"70","Ondatra zibethicus",10,13,33,52,2
"71","Onychomys leucogaster",42,40,82,77,2
"72","Onychomys torridus",34,28,11,13,2
"73","Oryzomys palustris",96,121,102,145,2
"74","Otospermophilus beecheyi",12,16,30,37,2
"75","Perognathus flavus",16,19,16,20,2
"76","Perognathus merriami",13,12,260,260,2
"77","Perognathus parvus",30,30,32,40,2
"78","Peromyscus attwateri",0,0,26,35,1
"79","Peromyscus boylii",66,68,88,96,2
"80","Peromyscus californicus",0,0,45,74,1
"81","Peromyscus difficilis",0,0,14,13,1
"82","Peromyscus eremicus",54,54,67,75,2
"83","Peromyscus gossypinus",17,22,77,104,2
"84","Peromyscus keeni",413,377,419,382,2
"85","Peromyscus leucopus",430,537,688,931,2
"86","Peromyscus maniculatus",1342,1660,1258,1618,2
"87","Peromyscus mexicanus",20,34,15,16,2
"88","Peromyscus nasutus",10,21,11,21,2
"89","Peromyscus pectoralis",29,56,51,105,2
"90","Peromyscus polionotus",619,646,628,654,2
"91","Peromyscus truei",119,141,156,180,2
"92","Phenacomys intermedius",27,13,28,15,2
"93","Phodopus campbelli",21,16,21,16,2
"94","Phodopus roborovskii",22,28,22,28,2
"95","Podomys floridanus",10,13,12,13,2
"96","Rattus norvegicus",72,71,84,79,2
"97","Rattus rattus",93,111,105,127,2
"98","Reithrodontomys creper",20,25,22,25,2
"99","Reithrodontomys fulvescens",92,142,113,154,2
"100","Reithrodontomys megalotis",114,112,133,146,2
"101","Sciurus carolinensis",10,21,26,39,2
"102","Sciurus griseus",0,14,19,27,1
"103","Sciurus niger",44,60,79,124,2
"104","Scotinomys teguina",26,22,25,21,2
"105","Sigmodon hirsutus",344,412,346,414,2
"106","Spermophilus columbianus",12,18,13,20,2
"107","Spermophilus lateralis",0,0,12,11,1
"108","Spermophilus mexicanus",0,0,46,26,1
"109","Spermophilus tridecemlineatus",12,15,14,22,2
"110","Spermophilus variegatus",0,0,19,20,1
"111","Stylodipus sungorus",15,10,15,10,2
"112","Synaptomys borealis",11,18,13,20,2
"113","Synaptomys cooperi",0,13,13,33,1
"114","Tamias amoenus",34,29,37,33,2
"115","Tamias minimus",32,38,32,43,2
"116","Tamias sibiricus",18,16,17,14,2
"117","Tamias striatus",114,77,80,59,2
"118","Tamiasciurus hudsonicus",115,114,111,122,2
"119","Thomomys bottae",25,13,72,41,2
"120","Thomomys talpoides",18,15,21,17,2
"121","Urocitellus elegans",28,29,28,29,2
"122","Urocitellus mollis",17,12,18,13,2
"123","Urocitellus parryii",159,129,158,128,2
"124","Urocitellus undulatus",42,44,43,47,2
"125","Zapus hudsonius",50,43,66,55,2
"126","Zapus princeps",66,79,73,91,2
"127","Zygodontomys brevicauda",760,1079,760,1079,2
