"","scientificName","female.mass","male.mass","female.body.length","male.body.length","tots"
"1","Abrothrix olivaceus",29,34,71,92,2
"2","Allactaga balikunica",13,0,34,22,1
"3","Allactaga sibirica",30,46,78,121,2
"4","Alopex lagopus",27,35,72,80,2
"5","Alticola barakshin",37,54,94,144,2
"6","Alticola lemminus",0,0,26,12,1
"7","Alticola semicanus",10,0,30,17,1
"8","Alticola strelzowi",42,52,107,129,2
"9","Alticola tuvinicus",0,10,24,19,1
"10","Antrozous pallidus",18,12,58,40,2
"11","Aplodontia rufa",0,0,11,15,1
"12","Apodemus agrarius",97,134,252,344,2
"13","Apodemus peninsulae",85,120,207,326,2
"14","Apodemus uralensis",107,133,282,336,2
"15","Ardops nichollsi",17,24,18,24,2
"16","Artibeus aequatorialis",28,14,30,14,2
"17","Artibeus fimbriatus",95,50,96,52,2
"18","Artibeus fraterculus",38,38,38,42,2
"19","Artibeus jamaicensis",257,221,268,238,2
"20","Artibeus lituratus",1880,1130,1934,1162,2
"21","Artibeus schwartzi",121,116,116,114,2
"22","Baiomys taylori",40,24,165,180,2
"23","Bassariscus astutus",0,0,29,23,1
"24","Blarina brevicauda",87,127,284,368,2
"25","Blarina carolinensis",14,14,38,42,2
"26","Brachyphylla cavernarum",80,65,84,68,2
"27","Canis familiaris",0,0,12,22,1
"28","Canis latrans",35,43,167,247,2
"29","Canis lupus",53,78,101,136,2
"30","Carollia brevicauda",18,22,20,24,2
"31","Castor canadensis",0,0,40,26,1
"32","Chaerephon ansorgei",59,51,62,56,2
"33","Chaerephon plicatus",38,96,0,0,1
"34","Chaerephon pumila",11,0,18,12,1
"35","Chaetodipus baileyi",45,32,0,0,1
"36","Chaetodipus californicus",0,0,24,27,1
"37","Chaetodipus formosus",0,0,10,12,1
"38","Chaetodipus intermedius",16,0,36,17,1
"39","Chaetodipus nelsoni",0,0,247,310,1
"40","Chaetodipus penicillatus",98,86,149,167,2
"41","Clethrionomys gapperi",53,76,252,362,2
"42","Clethrionomys rutilus",0,0,16,13,1
"43","Condylura cristata",19,13,50,55,2
"44","Conepatus mesoleucus",0,0,10,12,1
"45","Cratogeomys castenops",0,0,135,51,1
"46","Cricetulus barabensis",95,116,238,307,2
"47","Cricetulus longicaudatus",53,37,133,88,2
"48","Cricetulus migratorius",88,95,215,243,2
"49","Crocidura sibirica",22,17,61,41,2
"50","Cryptotis parva",0,0,64,30,1
"51","Cynomys gunnisoni",0,0,14,14,1
"52","Cynomys ludovicianus",0,14,24,54,1
"53","Delphinapterus leucas",0,0,39,36,1
"54","Desmodus rotundus",29,36,38,48,2
"55","Dicrostonyx groenlandicus",22,92,64,244,2
"56","Dicrostonyx kilangmiutak",64,63,161,152,2
"57","Dicrostonyx torquatus",54,59,107,155,2
"58","Didelphis marsupialis",35,48,126,139,2
"59","Didelphis virginiana",35,55,100,138,2
"60","Dipodomys agilis",0,0,62,50,1
"61","Dipodomys compactus",0,0,66,100,1
"62","Dipodomys merriami",184,228,368,382,2
"63","Dipodomys ordii",59,74,188,259,2
"64","Dipodomys panamintinus",0,0,14,15,1
"65","Dipus sagitta",29,45,77,120,2
