"","db","query","order"
"1","ncbi","Abrothrix olivaceus","Rodentia"
"2","ncbi","Allactaga sibirica","Rodentia"
"3","ncbi","Alopex lagopus","Carnivora"
"4","ncbi","Alticola barakshin","Rodentia"
"5","ncbi","Alticola strelzowi","Rodentia"
"6","ncbi","Antrozous pallidus","Chiroptera"
"7","ncbi","Apodemus agrarius","Rodentia"
"8","ncbi","Apodemus peninsulae","Rodentia"
"9","ncbi","Apodemus uralensis","Rodentia"
"10","ncbi","Artibeus fimbriatus","Chiroptera"
"11","ncbi","Artibeus fraterculus","Chiroptera"
"12","ncbi","Artibeus jamaicensis","Chiroptera"
"13","ncbi","Artibeus lituratus","Chiroptera"
"14","ncbi","Artibeus schwartzi","Chiroptera"
"15","ncbi","Baiomys taylori","Rodentia"
"16","ncbi","Blarina brevicauda","Eulipotyphla"
"17","ncbi","Blarina carolinensis","Eulipotyphla"
"18","ncbi","Brachyphylla cavernarum","Chiroptera"
"19","ncbi","Canis latrans","Carnivora"
"20","ncbi","Canis lupus","Carnivora"
"21","ncbi","Carollia brevicauda","Chiroptera"
"22","ncbi","Castor canadensis","Rodentia"
"23","ncbi","Chaerephon ansorgei","Chiroptera"
"24","ncbi","Chaerephon plicatus","Chiroptera"
"25","ncbi","Chaetodipus baileyi","Rodentia"
"26","ncbi","Chaetodipus nelsoni","Rodentia"
"27","ncbi","Chaetodipus penicillatus","Rodentia"
"28","ncbi","Clethrionomys gapperi","Rodentia"
"29","ncbi","Condylura cristata","Eulipotyphla"
"30","ncbi","Cratogeomys castenops",NA
"31","ncbi","Cricetulus barabensis","Rodentia"
"32","ncbi","Cricetulus longicaudatus","Rodentia"
"33","ncbi","Cricetulus migratorius","Rodentia"
"34","ncbi","Crocidura sibirica","Eulipotyphla"
"35","ncbi","Cryptotis parva","Eulipotyphla"
"36","ncbi","Cynomys ludovicianus","Rodentia"
"37","ncbi","Delphinapterus leucas","Artiodactyla"
"38","ncbi","Desmodus rotundus","Chiroptera"
"39","ncbi","Dicrostonyx groenlandicus","Rodentia"
"40","ncbi","Dicrostonyx kilangmiutak",NA
"41","ncbi","Dicrostonyx torquatus","Rodentia"
"42","ncbi","Didelphis marsupialis","Didelphimorphia"
"43","ncbi","Didelphis virginiana","Didelphimorphia"
"44","ncbi","Dipodomys agilis","Rodentia"
"45","ncbi","Dipodomys compactus","Rodentia"
"46","ncbi","Dipodomys merriami","Rodentia"
"47","ncbi","Dipodomys ordii","Rodentia"
"48","ncbi","Dipus sagitta","Rodentia"
"49","ncbi","Ellobius tancrei","Rodentia"
"50","ncbi","Enhydra lutris","Carnivora"
"51","ncbi","Eolagurus luteus","Rodentia"
"52","ncbi","Eptesicus fuscus","Chiroptera"
"53","ncbi","Eptesicus gobiensis","Chiroptera"
"54","ncbi","Eumetopias jubatus","Carnivora"
"55","ncbi","Geomys bursarius","Rodentia"
"56","ncbi","Geomys personatus","Rodentia"
"57","ncbi","Glaucomys sabrinus","Rodentia"
"58","ncbi","Glaucomys volans","Rodentia"
"59","ncbi","Glossophaga longirostris","Chiroptera"
"60","ncbi","Glossophaga soricina","Chiroptera"
"61","ncbi","Gulo gulo","Carnivora"
"62","ncbi","Heteromys desmarestianus","Rodentia"
"63","ncbi","Hipposideros larvatus","Chiroptera"
"64","ncbi","Hipposideros ruber","Chiroptera"
"65","ncbi","Lasionycteris noctivagans","Chiroptera"
